"filename", "language", "Markdown", "JavaScript", "JSON", "XML", "PostCSS", "HTML", "JavaScript JSX", "Dotenv", "comment", "blank", "total"
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 6, 25, 186
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\SearchPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 2, 10, 70
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Terms.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 7, 10, 101
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\ThankYou.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 7, 33
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\AboutSkinOra.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Banner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 30, 10, 97
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Categorys.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 5, 10, 99
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\CustomerTestimonials.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 3, 11, 74
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Features.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 5, 9, 63
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 2, 9, 61
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\Banner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 2, 10, 53
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\CategoryPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\CategoryProduct.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 11, 24, 172
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\MobileFilterDrawer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 7, 12, 143
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\ProductFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 5, 10, 127
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleProduct\SingleProduct.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 235, 0, 9, 52, 296
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\assets\images\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\assets\images\logo.svg", "XML", 0, 0, 0, 338, 0, 0, 0, 0, 0, 1, 339
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\context\CartContext.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 2, 9, 58
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\index.css", "PostCSS", 0, 0, 0, 0, 72, 0, 0, 0, 5, 9, 86
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 3, 21
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\tailwind.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"Total", "-", 38, 169, 17767, 339, 142, 20, 3410, 1, 241, 617, 22744
